 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.008,255,0,255,255,0.348,2.109,1020
2,0.002,255,0,255,255,0.129,0.527,255
3,0.006,255,0,255,255,0.386,1.582,765
4,0.027,255,0,255,255,0.798,6.855,3315
5,0.002,255,0,255,255,0.129,0.527,255
6,0.002,255,0,255,255,0.129,0.527,255
7,0.014,255,0,255,255,0.541,3.691,1785
8,0.002,255,0,255,255,0.129,0.527,255
9,0.002,255,0,255,255,0.129,0.527,255
10,0.002,255,0,255,255,0.129,0.527,255
11,0.006,255,0,255,255,0.348,1.582,765
12,0.014,255,0,255,255,0.413,3.691,1785
13,0.062,255,0,255,255,1.200,15.820,7650
14,0.002,255,0,255,255,0.129,0.527,255
15,0.023,255,0,255,255,0.541,5.801,2805
16,0.029,255,0,255,255,0.927,7.383,3570
17,0.014,255,0,255,255,0.450,3.691,1785
18,0.033,255,0,255,255,0.734,8.437,4080
19,0.002,255,0,255,255,0.129,0.527,255
20,0.070,255,0,255,255,1.355,17.929,8670
21,0.023,255,0,255,255,0.696,5.801,2805
22,0.004,255,0,255,255,0.257,1.055,510
23,0.002,255,0,255,255,0.129,0.527,255
24,0.010,255,0,255,255,0.568,2.637,1275
25,0.002,255,0,255,255,0.129,0.527,255
26,0.039,255,0,255,255,1.136,10.019,4845
27,0.002,255,0,255,255,0.129,0.527,255
28,0.008,255,0,255,255,0.348,2.109,1020
29,0.002,255,0,255,255,0.129,0.527,255
30,0.037,255,0,255,255,0.889,9.492,4590
31,0.010,255,0,255,255,0.386,2.637,1275
32,0.002,255,0,255,255,0.129,0.527,255
33,0.002,255,0,255,255,0.129,0.527,255
34,0.002,255,0,255,255,0.129,0.527,255
35,0.004,255,0,255,255,0.220,1.055,510
36,0.006,255,0,255,255,0.322,1.582,765
37,0.002,255,0,255,255,0.129,0.527,255
38,0.068,255,0,255,255,0.991,17.402,8415
39,0.002,255,0,255,255,0.129,0.527,255
40,0.041,255,0,255,255,0.916,10.547,5100
41,0.025,255,0,255,255,0.761,6.328,3060
42,0.002,255,0,255,255,0.129,0.527,255
43,0.004,255,0,255,255,0.220,1.055,510
