 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.079,255,0,255,255,1.275,20.039,9690
2,0.002,255,0,255,255,0.129,0.527,255
3,0.002,255,0,255,255,0.129,0.527,255
4,0.002,255,0,255,255,0.129,0.527,255
5,0.004,255,0,255,255,0.220,1.055,510
6,0.004,255,0,255,255,0.220,1.055,510
7,0.004,255,0,255,255,0.193,1.055,510
8,0.023,255,0,255,255,0.568,5.801,2805
9,0.002,255,0,255,255,0.129,0.527,255
10,0.002,255,0,255,255,0.129,0.527,255
11,0.002,255,0,255,255,0.129,0.527,255
12,0.002,255,0,255,255,0.129,0.527,255
13,0.002,255,0,255,255,0.129,0.527,255
14,0.014,255,0,255,255,0.605,3.691,1785
15,0.066,255,0,255,255,0.943,16.875,8160
16,0.008,255,0,255,255,0.386,2.109,1020
17,0.021,255,0,255,255,0.605,5.273,2550
18,0.006,255,0,255,255,0.257,1.582,765
19,0.002,255,0,255,255,0.129,0.527,255
20,0.031,255,0,255,255,0.696,7.910,3825
21,0.002,255,0,255,255,0.129,0.527,255
22,0.043,255,0,255,255,0.943,11.074,5355
23,0.002,255,0,255,255,0.129,0.527,255
24,0.002,255,0,255,255,0.129,0.527,255
25,0.002,255,0,255,255,0.129,0.527,255
26,0.002,255,0,255,255,0.129,0.527,255
27,0.056,255,0,255,255,0.889,14.238,6885
28,0.008,255,0,255,255,0.348,2.109,1020
29,0.077,255,0,255,255,1.045,19.511,9435
30,0.372,255,0,255,255,2.593,94.921,45900
31,0.002,255,0,255,255,0.129,0.527,255
32,0.054,255,0,255,255,1.071,13.711,6630
33,0.008,255,0,255,255,0.386,2.109,1020
34,0.004,255,0,255,255,0.193,1.055,510
35,0.002,255,0,255,255,0.129,0.527,255
36,0.002,255,0,255,255,0.129,0.527,255
37,0.058,255,0,255,255,1.109,14.765,7140
38,0.002,255,0,255,255,0.129,0.527,255
39,0.002,255,0,255,255,0.129,0.527,255
40,0.052,255,0,255,255,0.954,13.183,6375
41,0.002,255,0,255,255,0.129,0.527,255
42,0.014,255,0,255,255,0.643,3.691,1785
43,0.002,255,0,255,255,0.129,0.527,255
44,0.050,255,0,255,255,0.927,12.656,6120
45,0.043,255,0,255,255,1.200,11.074,5355
46,0.002,255,0,255,255,0.129,0.527,255
47,0.050,255,0,255,255,0.916,12.656,6120
48,0.252,255,0,255,255,1.859,64.335,31110
49,0.002,255,0,255,255,0.129,0.527,255
