 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.031,255,0,255,255,0.659,7.910,3825
2,0.002,255,0,255,255,0.129,0.527,255
3,0.021,255,0,255,255,0.605,5.273,2550
4,0.019,255,0,255,255,0.696,4.746,2295
5,0.002,255,0,255,255,0.129,0.527,255
6,0.002,255,0,255,255,0.129,0.527,255
7,0.010,255,0,255,255,0.348,2.637,1275
8,0.008,255,0,255,255,0.386,2.109,1020
9,0.002,255,0,255,255,0.129,0.527,255
10,0.014,255,0,255,255,0.670,3.691,1785
11,0.006,255,0,255,255,0.386,1.582,765
12,0.097,255,0,255,255,1.147,24.785,11985
13,0.004,255,0,255,255,0.257,1.055,510
14,0.002,255,0,255,255,0.129,0.527,255
15,0.025,255,0,255,255,0.707,6.328,3060
16,0.002,255,0,255,255,0.129,0.527,255
17,0.002,255,0,255,255,0.129,0.527,255
18,0.006,255,0,255,255,0.322,1.582,765
19,0.002,255,0,255,255,0.129,0.527,255
20,0.029,255,0,255,255,0.568,7.383,3570
21,0.002,255,0,255,255,0.129,0.527,255
22,0.033,255,0,255,255,0.659,8.437,4080
23,0.008,255,0,255,255,0.386,2.109,1020
24,0.120,255,0,255,255,1.484,30.586,14790
25,0.002,255,0,255,255,0.129,0.527,255
26,0.014,255,0,255,255,0.670,3.691,1785
27,0.045,255,0,255,255,0.852,11.601,5610
28,0.002,255,0,255,255,0.129,0.527,255
29,0.004,255,0,255,255,0.193,1.055,510
30,0.254,255,0,255,255,2.850,64.862,31365
31,0.054,255,0,255,255,1.184,13.711,6630
32,0.002,255,0,255,255,0.129,0.527,255
33,0.023,255,0,255,255,0.670,5.801,2805
34,0.002,255,0,255,255,0.129,0.527,255
35,0.010,255,0,255,255,0.514,2.637,1275
36,0.002,255,0,255,255,0.129,0.527,255
37,0.002,255,0,255,255,0.129,0.527,255
38,0.014,255,0,255,255,0.568,3.691,1785
39,0.002,255,0,255,255,0.129,0.527,255
40,0.004,255,0,255,255,0.257,1.055,510
41,0.004,255,0,255,255,0.193,1.055,510
42,0.060,255,0,255,255,1.082,15.293,7395
43,0.004,255,0,255,255,0.220,1.055,510
44,0.002,255,0,255,255,0.129,0.527,255
45,0.006,255,0,255,255,0.257,1.582,765
46,0.008,255,0,255,255,0.386,2.109,1020
47,0.004,255,0,255,255,0.220,1.055,510
48,0.002,255,0,255,255,0.129,0.527,255
49,0.041,255,0,255,255,0.798,10.547,5100
50,0.025,255,0,255,255,0.579,6.328,3060
51,0.126,255,0,255,255,1.404,32.168,15555
52,0.023,255,0,255,255,0.568,5.801,2805
53,0.002,255,0,255,255,0.129,0.527,255
54,0.002,255,0,255,255,0.129,0.527,255
55,0.004,255,0,255,255,0.193,1.055,510
