 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.060,255,0,255,255,0.916,15.293,7395
2,0.010,255,0,255,255,0.514,2.637,1275
3,0.168,255,0,255,255,1.885,42.714,20655
4,0.205,255,0,255,255,1.757,52.206,25245
5,0.219,255,0,255,255,2.437,55.898,27030
6,0.006,255,0,255,255,0.257,1.582,765
7,0.008,255,0,255,255,0.257,2.109,1020
8,0.176,255,0,255,255,1.655,44.824,21675
9,0.002,255,0,255,255,0.129,0.527,255
10,0.050,255,0,255,255,0.825,12.656,6120
11,0.002,255,0,255,255,0.129,0.527,255
12,0.002,255,0,255,255,0.129,0.527,255
13,0.043,255,0,255,255,0.734,11.074,5355
14,0.006,255,0,255,255,0.257,1.582,765
15,0.021,255,0,255,255,0.541,5.273,2550
16,0.002,255,0,255,255,0.129,0.527,255
17,0.002,255,0,255,255,0.129,0.527,255
18,0.093,255,0,255,255,1.098,23.730,11475
19,0.128,255,0,255,255,1.328,32.695,15810
20,0.105,255,0,255,255,1.688,26.894,13005
21,0.006,255,0,255,255,0.257,1.582,765
22,0.201,255,0,255,255,1.783,51.152,24735
23,0.139,255,0,255,255,1.393,35.332,17085
24,0.014,255,0,255,255,0.450,3.691,1785
25,0.002,255,0,255,255,0.129,0.527,255
26,0.174,255,0,255,255,1.730,44.296,21420
27,0.006,255,0,255,255,0.257,1.582,765
28,0.116,255,0,255,255,1.211,29.531,14280
29,0.014,255,0,255,255,0.413,3.691,1785
30,0.114,255,0,255,255,1.366,29.004,14025
31,0.012,255,0,255,255,0.450,3.164,1530
32,0.002,255,0,255,255,0.129,0.527,255
33,0.002,255,0,255,255,0.129,0.527,255
34,0.337,255,0,255,255,2.400,85.956,41565
35,0.002,255,0,255,255,0.129,0.527,255
36,0.021,255,0,255,255,0.825,5.273,2550
37,0.006,255,0,255,255,0.386,1.582,765
38,0.056,255,0,255,255,0.916,14.238,6885
39,0.172,255,0,255,255,1.896,43.769,21165
40,0.089,255,0,255,255,1.125,22.675,10965
41,0.037,255,0,255,255,0.696,9.492,4590
42,0.002,255,0,255,255,0.129,0.527,255
43,0.006,255,0,255,255,0.257,1.582,765
44,0.004,255,0,255,255,0.193,1.055,510
45,0.014,255,0,255,255,0.477,3.691,1785
46,0.014,255,0,255,255,0.605,3.691,1785
47,0.058,255,0,255,255,0.991,14.765,7140
48,0.139,255,0,255,255,1.419,35.332,17085
49,0.008,255,0,255,255,0.401,2.109,1020
50,0.006,255,0,255,255,0.257,1.582,765
51,0.002,255,0,255,255,0.129,0.527,255
52,0.012,255,0,255,255,0.386,3.164,1530
53,0.225,255,0,255,255,1.821,57.480,27795
54,0.101,255,0,255,255,1.173,25.839,12495
