 ,Area,Mean,StdDev,Min,Max,Perim.,IntDen,RawIntDen
1,0.041,255,0,255,255,0.761,10.547,5100
2,0.002,255,0,255,255,0.129,0.527,255
3,0.172,255,0,255,255,1.881,43.769,21165
4,0.130,255,0,255,255,1.317,33.222,16065
5,0.122,255,0,255,255,1.253,31.113,15045
6,0.168,255,0,255,255,1.794,42.714,20655
7,0.058,255,0,255,255,0.878,14.765,7140
8,0.014,255,0,255,255,0.439,3.691,1785
9,0.056,255,0,255,255,0.927,14.238,6885
10,0.112,255,0,255,255,1.328,28.476,13770
11,0.010,255,0,255,255,0.413,2.637,1275
12,0.004,255,0,255,255,0.257,1.055,510
13,0.014,255,0,255,255,0.386,3.691,1785
14,0.064,255,0,255,255,0.991,16.347,7905
15,0.029,255,0,255,255,0.632,7.383,3570
16,0.151,255,0,255,255,1.510,38.496,18615
17,0.112,255,0,255,255,1.264,28.476,13770
18,0.128,255,0,255,255,1.559,32.695,15810
19,0.002,255,0,255,255,0.129,0.527,255
20,0.010,255,0,255,255,0.514,2.637,1275
21,0.008,255,0,255,255,0.348,2.109,1020
22,0.008,255,0,255,255,0.257,2.109,1020
23,0.062,255,0,255,255,0.980,15.820,7650
24,0.087,255,0,255,255,1.173,22.148,10710
25,0.039,255,0,255,255,0.723,10.019,4845
26,0.114,255,0,255,255,1.264,29.004,14025
27,0.101,255,0,255,255,1.317,25.839,12495
28,0.271,255,0,255,255,2.025,69.081,33405
29,0.122,255,0,255,255,1.302,31.113,15045
30,0.002,255,0,255,255,0.129,0.527,255
31,0.101,255,0,255,255,1.226,25.839,12495
32,0.089,255,0,255,255,1.120,22.675,10965
33,0.246,255,0,255,255,1.885,62.753,30345
34,0.023,255,0,255,255,0.568,5.801,2805
35,0.060,255,0,255,255,0.889,15.293,7395
36,0.037,255,0,255,255,0.696,9.492,4590
37,0.035,255,0,255,255,1.018,8.965,4335
38,0.083,255,0,255,255,1.071,21.093,10200
39,0.004,255,0,255,255,0.193,1.055,510
40,0.033,255,0,255,255,0.670,8.437,4080
41,0.139,255,0,255,255,1.382,35.332,17085
42,0.246,255,0,255,255,1.976,62.753,30345
43,0.002,255,0,255,255,0.129,0.527,255
44,0.194,255,0,255,255,1.961,49.570,23970
45,0.002,255,0,255,255,0.129,0.527,255
46,0.014,255,0,255,255,0.514,3.691,1785
47,0.019,255,0,255,255,0.477,4.746,2295
48,0.004,255,0,255,255,0.193,1.055,510
49,0.056,255,0,255,255,0.916,14.238,6885
50,0.010,255,0,255,255,0.348,2.637,1275
51,0.025,255,0,255,255,0.568,6.328,3060
52,0.029,255,0,255,255,0.605,7.383,3570
53,0.178,255,0,255,255,1.650,45.351,21930
54,0.035,255,0,255,255,0.723,8.965,4335
55,0.190,255,0,255,255,1.612,48.515,23460
56,0.006,255,0,255,255,0.257,1.582,765
57,0.008,255,0,255,255,0.348,2.109,1020
58,0.019,255,0,255,255,0.477,4.746,2295
59,0.186,255,0,255,255,1.601,47.460,22950
60,0.019,255,0,255,255,0.477,4.746,2295
61,0.124,255,0,255,255,1.264,31.640,15300
62,0.008,255,0,255,255,0.348,2.109,1020
63,0.002,255,0,255,255,0.129,0.527,255
64,0.017,255,0,255,255,0.450,4.219,2040
65,0.070,255,0,255,255,1.045,17.929,8670
66,0.021,255,0,255,255,0.514,5.273,2550
67,0.064,255,0,255,255,0.878,16.347,7905
68,0.004,255,0,255,255,0.220,1.055,510
69,0.126,255,0,255,255,1.446,32.168,15555
70,0.029,255,0,255,255,0.568,7.383,3570
71,0.010,255,0,255,255,0.348,2.637,1275
72,0.062,255,0,255,255,0.863,15.820,7650
73,0.010,255,0,255,255,0.386,2.637,1275
74,0.029,255,0,255,255,0.632,7.383,3570
75,0.027,255,0,255,255,0.605,6.855,3315
76,0.019,255,0,255,255,0.477,4.746,2295
77,0.143,255,0,255,255,1.688,36.386,17595
78,0.010,255,0,255,255,0.386,2.637,1275
79,0.203,255,0,255,255,2.014,51.679,24990
80,0.147,255,0,255,255,1.484,37.441,18105
81,0.008,255,0,255,255,0.348,2.109,1020
82,0.192,255,0,255,255,1.896,49.042,23715
83,0.110,255,0,255,255,1.226,27.949,13515
84,0.261,255,0,255,255,2.116,66.444,32130
85,0.004,255,0,255,255,0.193,1.055,510
86,0.093,255,0,255,255,1.136,23.730,11475
87,0.287,255,0,255,255,2.566,73.300,35445
88,0.017,255,0,255,255,0.477,4.219,2040
89,0.037,255,0,255,255,0.696,9.492,4590
90,0.074,255,0,255,255,0.969,18.984,9180
91,0.128,255,0,255,255,1.355,32.695,15810
92,0.031,255,0,255,255,0.632,7.910,3825
93,0.242,255,0,255,255,2.116,61.698,29835
94,0.108,255,0,255,255,1.162,27.421,13260
95,0.031,255,0,255,255,0.594,7.910,3825
96,0.161,255,0,255,255,1.612,41.132,19890
97,0.019,255,0,255,255,0.477,4.746,2295
98,0.021,255,0,255,255,0.503,5.273,2550
99,0.087,255,0,255,255,1.200,22.148,10710
100,0.099,255,0,255,255,1.302,25.312,12240
101,0.004,255,0,255,255,0.257,1.055,510
102,0.118,255,0,255,255,1.302,30.058,14535
103,0.064,255,0,255,255,0.991,16.347,7905
104,0.321,255,0,255,255,2.293,81.737,39525
105,0.012,255,0,255,255,0.348,3.164,1530
106,0.093,255,0,255,255,1.120,23.730,11475
107,0.101,255,0,255,255,1.393,25.839,12495
108,0.006,255,0,255,255,0.257,1.582,765
109,0.002,255,0,255,255,0.129,0.527,255
110,0.209,255,0,255,255,1.794,53.261,25755
111,0.062,255,0,255,255,0.916,15.820,7650
112,0.058,255,0,255,255,0.836,14.765,7140
113,0.017,255,0,255,255,0.477,4.219,2040
114,0.014,255,0,255,255,0.514,3.691,1785
115,0.153,255,0,255,255,1.559,39.023,18870
116,0.031,255,0,255,255,0.734,7.910,3825
117,0.012,255,0,255,255,0.386,3.164,1530
118,0.023,255,0,255,255,0.541,5.801,2805
119,0.029,255,0,255,255,0.798,7.383,3570
120,0.083,255,0,255,255,1.211,21.093,10200
121,0.263,255,0,255,255,2.089,66.972,32385
122,0.074,255,0,255,255,0.980,18.984,9180
123,0.006,255,0,255,255,0.257,1.582,765
124,0.012,255,0,255,255,0.450,3.164,1530
125,0.023,255,0,255,255,0.541,5.801,2805
126,0.017,255,0,255,255,0.477,4.219,2040
127,0.174,255,0,255,255,1.688,44.296,21420
128,0.027,255,0,255,255,0.568,6.855,3315
129,0.033,255,0,255,255,0.670,8.437,4080
130,0.008,255,0,255,255,0.348,2.109,1020
131,0.004,255,0,255,255,0.193,1.055,510
132,0.027,255,0,255,255,0.670,6.855,3315
133,0.143,255,0,255,255,1.495,36.386,17595
134,0.141,255,0,255,255,1.612,35.859,17340
135,0.002,255,0,255,255,0.129,0.527,255
136,0.335,255,0,255,255,2.169,85.429,41310
137,0.176,255,0,255,255,2.191,44.824,21675
