Ch1Coloc_b2	Ch1Coloc_gfp	Ch1Coloc_YY	Ch1Spot_b2	Ch1Spot_gfp	Ch1Spot_YY	Ch2Coloc_b2	Ch2Coloc_gfp	Ch2Coloc_YY	Ch2Spot_b2	Ch2Spot_gfp	Ch2Spot_YY
24.273	0	3.571	0.6266023670633024	0.002289817638923236	0.04506541728162184	22.296	0	0.345	0.6821586815849033	0.3104992718379908	0.4667489647025119
27.052	0	3.302	0.8292985481718969	0.0094913831423544	0.1798991546436893	22.924	0	0.752	0.9786278512346755	0.5014614093543908	0.790028834779598
10.992	0	2.506	0.4832215161204173	0.003200322592517326	0.2486729418348891	4.688	0	1.073	1.133172898871696	0.5909929054181995	0.5806144997283856
26.877	0	2.5	0.4822966008228009	0.007600150989666329	0.02925972172541653	14.195	0	0.11	0.9131771976539819	0.5151213448551623	0.6671216553394969
20.106	3.279	2.857	0.7433055308224027	0.05363094699064447	0.08379199475222707	10.037	0.244	0.307	1.488970761742654	0.7209405988906307	0.7810610939404024
29.314	0	5.263	0.6485158432179862	0	0.05900538657068457	15.582	0	0.508	1.220027949949978	0.5896094845594406	0.6117926923381506
18.605	3.448	1.24	0.2188008132379581	0.0183202711905523	0.2983749660937539	6.429	0.182	0.802	0.6332219917997752	0.3461899521525055	0.4611249475994378
24.324	0	0	0.2059730960787176	0	0.050400135072362	9.141999999999999	0	0	0.5480245138911225	1.128474027140084	0.4065610895837201
22.78	0	1.449	0.3681207436039021	0	0.1669625816286716	12.253	0	0.59	0.6843634673562891	0.6082113990186069	0.4101472113921715
20.817	0	1.07	0.696435698981956	0	0.1146251237430313	18.968	0	0.255	0.7643358857074695	0.4131604635213741	0.4799543951379333
32.15	0	2.326	0.4247173786476898	0	0.5529770203754886	25.71	0	2.358	0.5311061500249218	0.5054192627206645	0.5454753941300846
18.118	0	2.64	0.6566128386494061	0	0.2490971256822425	19.476	0	1.019	0.6108558464090293	0.8335138253460058	0.6453506391437636
12.245	0	7.511	0.2125179122240303	0	0.4875496965892446	3.337	0	3.103	0.7798106248547071	1.369283870845612	1.180163214061519
17.337		3.488	0.3732596067456827		0.1750238877079299	13.143		0.673	0.4923650591494558		0.9076820222992644
21.748		1.98	0.3934412202636744		0.05650033564555829	15.664		0.224	0.5462339271621887		0.4984336540613113
22.108		1.905	0.2903167064204025		0.09674066867150186	8.722		0.316	0.7358670245000433		0.5832080311339112
18.494		0	0.4950660164320063		0.002644463049711145	15.695		0	0.5833538793359968		0.5569239182691672
12.102		2.655	0.4897627115260195		0.05450269426593071	12.484		0.344	0.4747890744857335		0.4205871628308989
21.206		2.909	0.3295226665435765		0.2084742113610106	9.397		0.985	0.7436698311100169		0.615567489545966
20.47		3.077	0.5763176012810496		0.03833363115616001	15.581		0.253	0.7571420835621843		0.4659010555902524
20.979			0.2370424397137257			6.543			0.7600276825786239		
21.008			0.7853793180079144			18.667			0.8838673996873635		
24.816			0.2473044122874443			9.164999999999999			0.6696055585768148		
39.3			0.8088813281390772			54.447			0.5838423594155596		
21.944			0.5314032724737018			14.96			0.7794958164709971		
11.957			0.3045925605474279			7.5			0.4855823429016966		
17.041			0.3580816479802586			7.996			0.7631028378305885		
27.865			0.592333474428498			14.011			1.178011516560047		
20.31			0.2947411327472935			9.304			0.643403899082464		
53.094			0.3692947281519047			19.559			1.002476707158863		
17.778			0.2577216262807333			8.547000000000001			0.5360609826639253		
28.249			0.2654067095415961			8.680999999999999			0.8636964107116349		
15			0.3469993233513194			6.112			0.8515941727246965		
