CK109_1216_681_rapa_PDH_009 - Registered_006,Distance_(microns),Green,Red,Farred
,0,104.582,108,111.501
,0.04547,102.248,107.189,111.556
,0.09095,102.203,103.734,110.429
,0.13643,106.866,106.776,109.521
,0.1819,104.81,105.295,108.202
,0.22738,104.984,107.972,108.562
,0.27285,112.075,108.332,107.295
,0.31833,106.247,104.233,107.983
,0.3638,108.473,108.82,110.662
,0.40927,110.206,108.106,109.236
,0.45475,106.945,109.075,114.205
,0.50023,109.171,119.02,120.961
,0.5457,112.487,127.703,130.192
,0.59118,112.677,142.161,143.255
,0.63665,120.649,167.036,164.797
,0.68212,133.947,168.386,186.788
,0.7276,137.274,188.308,196.806
,0.77307,150.374,197.606,205.793
,0.81855,184.645,209.357,209.593
,0.86402,240.81,224.64,189.703
,0.9095,319.059,261.032,165.518
,0.95498,436.423,297.167,145.18
,1.00045,467.943,285.944,127.692
,1.04593,401.43,260.382,118.992
,1.0914,307.23,235.014,114.004
,1.13688,211.807,189.109,110.364
,1.18235,150.282,145.236,110.945
,1.22783,123.739,125.61,113.404
,1.2733,115.906,116.33,114.029
,1.31878,106.41,108.764,115.321
,1.36425,107.383,100.367,120.457
,1.40972,106.439,101.147,120.295
,1.4552,104.691,105.859,115.174
,1.50067,103.716,108.245,111.359
,1.54615,101.039,104.48,107.369
,1.59162,103.734,108.476,103.762
,1.6371,102.79,105.642,109.338
,1.68257,102.789,109.554,114.304
,1.72805,106.677,109.557,112.002
,1.77352,105.546,107.319,109.497
,1.819,105.029,108.452,108.805
,1.86448,105.869,108.597,109.672
,1.90995,109.618,113.397,110.24
,1.95543,111.267,111.631,110.975
,2.0009,107.66,106.567,111.001
,2.04638,105.536,108.028,111.042
