CK112_1216_681_rapa_PDH_008.nd2 - Registered_003,Distance_(microns),Green,Red,Farred
,0,110.572,111,142.043
,0.04548,113.485,116.068,143.651
,0.09095,108.452,118.641,148.239
,0.13643,117.079,116.844,147.431
,0.1819,116.42,122.281,144.673
,0.22738,117.647,127.463,153.774
,0.27285,117.953,126.023,184.171
,0.31833,123.736,137.824,208.993
,0.3638,140.862,144.75,245.493
,0.40927,156.507,154.609,296.592
,0.45475,167.524,176.656,321.597
,0.50023,184.478,180.564,323.983
,0.5457,239.662,228.969,306.337
,0.59118,308.078,268.816,258.749
,0.63665,410.445,317.828,217.579
,0.68213,562.285,338.893,190.278
,0.7276,590.842,326.5,160.811
,0.77308,503.3,260.201,139.233
,0.81855,367.494,223.555,136.326
,0.86402,263.072,185.588,130.567
,0.9095,180.001,155.469,123.92
,0.95498,131.16,127.205,127.36
,1.00045,118.561,118.656,132.944
,1.04593,122.042,116.062,138.707
,1.0914,125.255,121.875,139.259
,1.13688,131.506,122.227,145.201
,1.18235,138.904,115.938,144.731
,1.22783,131.397,116.85,139.478
,1.2733,125.734,115.781,138.929
,1.31878,125.612,109.643,142.525
,1.36425,119.657,108.875,147.032
,1.40973,112.538,114.535,148.469
,1.4552,104.197,107,158.786
